Scheduler,Throughput
BATS,1.911968
BATS,1.912096
BATS,1.905824
BATS,1.917376
BATS,1.915424
BATS,1.418976
BATS,1.419264
BATS,1.42736
BATS,1.37584
BATS,1.417152
BATS,1.22864
BATS,1.22752
BATS,1.223392
BATS,1.148064
BATS,1.231488
BATS,1.056704
BATS,1.057216
BATS,1.061376
BATS,1.012288
BATS,1.060384
BATS,2.129824
BATS,2.140576
BATS,2.127808
BATS,2.128256
BATS,2.126752
BATS,1.578496
BATS,1.577952
BATS,1.577536
BATS,1.58288
BATS,1.583616
BATS,1.335616
BATS,1.340512
BATS,1.3432
BATS,1.332416
BATS,1.347232
BATS,1.17728
BATS,1.181984
BATS,1.174848
BATS,1.171552
BATS,1.175744
BATS,2.120064
BATS,2.13248
BATS,2.135712
BATS,2.13168
BATS,2.128512
BATS,1.589024
BATS,1.578592
BATS,1.582048
BATS,1.578208
BATS,1.579424
BATS,1.332768
BATS,1.335712
BATS,1.337632
BATS,1.341696
BATS,1.335712
BATS,1.176288
BATS,1.175328
BATS,1.178848
BATS,1.174176
BATS,1.177408
BATS,2.137664
BATS,2.133472
BATS,2.123104
BATS,2.138336
BATS,2.12416
BATS,1.583072
BATS,1.580672
BATS,1.58208
BATS,1.57936
BATS,1.588128
BATS,1.334944
BATS,1.336224
BATS,1.334528
BATS,1.335136
BATS,1.347648
BATS,1.176096
BATS,1.178112
BATS,1.170624
BATS,1.179136
BATS,1.1712
BATS,2.120224
BATS,2.122912
BATS,2.135296
BATS,2.13408
BATS,2.131264
BATS,1.5712
BATS,1.583424
BATS,1.587296
BATS,1.569856
BATS,1.583936
BATS,1.336736
BATS,1.340224
BATS,1.337792
BATS,1.337312
BATS,1.341696
BATS,1.178656
BATS,1.176096
BATS,1.17808
BATS,1.173856
BATS,1.17504
BATS,2.131488
BATS,2.131392
BATS,2.128
BATS,2.126336
BATS,2.136352
BATS,1.60112
BATS,1.57312
BATS,1.577472
BATS,1.58416
BATS,1.578208
BATS,1.339552
BATS,1.340992
BATS,1.340224
BATS,1.33664
BATS,1.335424
BATS,1.176288
BATS,1.176032
BATS,1.175456
BATS,1.175584
BATS,1.177312
BATS,2.134016
BATS,2.137024
BATS,2.128224
BATS,2.139072
BATS,2.124544
BATS,1.582688
BATS,1.581216
BATS,1.58208
BATS,1.568544
BATS,1.58272
BATS,1.336608
BATS,1.349408
BATS,1.337344
BATS,1.336448
BATS,1.341824
BATS,1.178976
BATS,1.178784
BATS,1.17552
BATS,1.174528
BATS,1.17536
BATS,2.126336
BATS,2.134272
BATS,2.128736
BATS,2.13408
BATS,2.128064
BATS,1.559552
BATS,1.575776
BATS,1.577408
BATS,1.575456
BATS,1.5792
BATS,1.336096
BATS,1.340448
BATS,1.341088
BATS,1.33728
BATS,1.342048
BATS,1.176288
BATS,1.17616
BATS,1.17824
BATS,1.175488
BATS,1.175264
BATS,2.134528
BATS,2.138112
BATS,2.117664
BATS,2.131392
BATS,2.136064
BATS,1.59568
BATS,1.577856
BATS,1.582016
BATS,1.57568
BATS,1.574688
BATS,1.34288
BATS,1.336352
BATS,1.343584
BATS,1.332992
BATS,1.347712
BATS,1.176288
BATS,1.176128
BATS,1.175552
BATS,1.175456
BATS,1.17728
BATS,2.12912
BATS,2.134624
BATS,2.128992
BATS,2.126976
BATS,2.131456
BATS,1.57568
BATS,1.573152
BATS,1.572896
BATS,1.583744
BATS,1.579552
BATS,1.33728
BATS,1.34496
BATS,1.340352
BATS,1.336448
BATS,1.33584
BATS,1.178976
BATS,1.178848
BATS,1.175392
BATS,1.174176
BATS,1.175264
BATS,2.121088
BATS,2.134368
BATS,2.136288
BATS,2.135008
BATS,2.119904
BATS,1.583552
BATS,1.583456
BATS,1.587072
BATS,1.570048
BATS,1.583936
BATS,1.330304
BATS,1.332288
BATS,1.3368
BATS,1.341792
BATS,1.347552
BATS,1.176288
BATS,1.17616
BATS,1.17824
BATS,1.175584
BATS,1.175264
BATS,2.134368
BATS,2.132096
BATS,2.124896
BATS,2.127104
BATS,2.128576
BATS,1.590528
BATS,1.580576
BATS,1.582464
BATS,1.578784
BATS,1.5832
BATS,1.337632
BATS,1.349408
BATS,1.334208
BATS,1.335392
BATS,1.33568
BATS,1.18096
BATS,1.179008
BATS,1.17584
BATS,1.16976
BATS,1.18144
BATS,2.133376
BATS,2.132704
BATS,2.122336
BATS,2.142176
BATS,2.13072
BATS,1.571744
BATS,1.575776
BATS,1.577504
BATS,1.577888
BATS,1.580256
BATS,1.337856
BATS,1.340352
BATS,1.337824
BATS,1.33744
BATS,1.347616
BATS,1.177984
BATS,1.168992
BATS,1.181376
BATS,1.1752
BATS,1.174368
BATS,2.130688
BATS,2.130912
BATS,2.128512
BATS,2.137408
BATS,2.131072
BATS,1.59568
BATS,1.583552
BATS,1.587712
BATS,1.580064
BATS,1.583008
BATS,1.335136
BATS,1.332192
BATS,1.343872
BATS,1.336736
BATS,1.335936
BATS,1.175616
BATS,1.1768
BATS,1.175328
BATS,1.174976
BATS,1.176928
BATS,2.125152
BATS,2.124608
BATS,2.128064
BATS,2.132224
BATS,2.137728
BATS,1.565664
BATS,1.568288
BATS,1.57264
BATS,1.57808
BATS,1.569312
BATS,1.33616
BATS,1.345376
BATS,1.33136
BATS,1.336512
BATS,1.347648
BATS,1.176288
BATS,1.178784
BATS,1.178144
BATS,1.174176
BATS,1.175072
BATS,2.129856
BATS,2.132768
BATS,2.127712
BATS,2.131424
BATS,2.127168
BATS,1.59328
BATS,1.586368
BATS,1.5872
BATS,1.575072
BATS,1.591232
BATS,1.3376
BATS,1.336448
BATS,1.346944
BATS,1.336704
BATS,1.341568
BATS,1.178816
BATS,1.17632
BATS,1.175392
BATS,1.174976
BATS,1.175072
BATS,2.119392
BATS,2.1336
BATS,2.136736
BATS,2.131264
BATS,2.121504
BATS,1.55232
BATS,1.570528
BATS,1.573088
BATS,1.567008
BATS,1.571264
BATS,1.337856
BATS,1.340672
BATS,1.330688
BATS,1.336832
BATS,1.347712
BATS,1.176288
BATS,1.178688
BATS,1.175584
BATS,1.174496
BATS,1.176992
BATS,2.140224
BATS,2.13904
BATS,2.121376
BATS,2.132864
BATS,2.130016
BATS,1.5888
BATS,1.568032
BATS,1.572736
BATS,1.572544
BATS,1.566784
BATS,1.341824
BATS,1.345184
BATS,1.339776
BATS,1.33072
BATS,1.341568
BATS,1.17632
BATS,1.176128
BATS,1.178208
BATS,1.175552
BATS,1.175264
BATS,2.119936
BATS,2.128544
BATS,2.132256
BATS,2.133376
BATS,2.12896
BATS,1.589664
BATS,1.583328
BATS,1.5824
BATS,1.57728
BATS,1.592192
BATS,1.332704
BATS,1.33664
BATS,1.337664
BATS,1.342976
BATS,1.341248
BATS,1.178976
BATS,1.17616
BATS,1.17552
BATS,1.174464
BATS,1.177312
BATS,2.128512
BATS,2.132544
BATS,2.129568
BATS,2.12608
BATS,2.136736
BATS,1.565216
BATS,1.575648
BATS,1.577728
BATS,1.574656
BATS,1.575008
BATS,1.336
BATS,1.3408
BATS,1.340672
BATS,1.336704
BATS,1.3416
BATS,1.171104
BATS,1.17616
BATS,1.17792
BATS,1.179136
BATS,1.171072
BATS,2.12912
BATS,2.131936
BATS,2.129056
BATS,2.13728
BATS,2.123712
BATS,1.594656
BATS,1.578208
BATS,1.5824
BATS,1.57744
BATS,1.579072
BATS,1.33744
BATS,1.345088
BATS,1.337408
BATS,1.33664
BATS,1.335808
BATS,1.182272
BATS,1.178304
BATS,1.172416
BATS,1.17456
BATS,1.173184
BATS,2.130592
BATS,2.132256
BATS,2.126304
BATS,2.126752
BATS,2.137376
BATS,1.588416
BATS,1.583648
BATS,1.587008
BATS,1.583104
BATS,1.591424
BATS,1.336576
BATS,1.340352
BATS,1.340128
BATS,1.335584
BATS,1.341312
BATS,1.176032
BATS,1.17488
BATS,1.176192
BATS,1.174784
BATS,1.17712
BATS,2.128416
BATS,2.144928
BATS,2.13008
BATS,2.134496
BATS,2.124416
BATS,1.582688
BATS,1.575872
BATS,1.582016
BATS,1.577984
BATS,1.570976
BATS,1.340576
BATS,1.336288
BATS,1.343104
BATS,1.332192
BATS,1.341632
BATS,1.176
BATS,1.178176
BATS,1.176256
BATS,1.176064
BATS,1.175232
BATS,2.137216
BATS,2.127744
BATS,2.119808
BATS,2.133408
BATS,2.133088
BATS,1.57696
BATS,1.573056
BATS,1.572704
BATS,1.580768
BATS,1.579104
BATS,1.336032
BATS,1.34064
BATS,1.331136
BATS,1.337856
BATS,1.3416
BATS,1.176288
BATS,1.18144
BATS,1.176032
BATS,1.168416
BATS,1.181408
BATS,2.12688
BATS,2.131584
BATS,2.127104
BATS,2.134304
BATS,2.127616
BATS,1.583168
BATS,1.58624
BATS,1.586944
BATS,1.584032
BATS,1.587712
BATS,1.338176
BATS,1.33632
BATS,1.3464
BATS,1.33456
BATS,1.347584
BATS,1.17824
BATS,1.176256
BATS,1.178976
BATS,1.17392
BATS,1.17504
BATS,2.121312
BATS,2.127424
BATS,2.136768
BATS,2.13936
BATS,2.124
BATS,1.58896
BATS,1.578688
BATS,1.582432
BATS,1.576672
BATS,1.583744
BATS,1.336576
BATS,1.3408
BATS,1.337472
BATS,1.336448
BATS,1.34144
BATS,1.17536
BATS,1.178912
BATS,1.176096
BATS,1.175424
BATS,1.175168
BATS,2.127584
BATS,2.131168
BATS,2.127168
BATS,2.133056
BATS,2.134016
BATS,1.58832
BATS,1.58608
BATS,1.592768
BATS,1.57584
BATS,1.587712
BATS,1.33792
BATS,1.340352
BATS,1.337792
BATS,1.338368
BATS,1.335936
BATS,1.169952
BATS,1.174784
BATS,1.180352
BATS,1.174752
BATS,1.175392
BATS,2.13264
BATS,2.139296
BATS,2.126336
BATS,2.120448
BATS,2.120672
BATS,1.582688
BATS,1.578368
BATS,1.578048
BATS,1.576896
BATS,1.57936
BATS,1.336704
BATS,1.345024
BATS,1.34
BATS,1.335136
BATS,1.347488
BATS,1.177984
BATS,1.178144
BATS,1.17552
BATS,1.173824
BATS,1.174944
BATS,2.123264
BATS,2.125536
BATS,2.129248
BATS,2.131296
BATS,2.138976
BATS,1.571168
BATS,1.57808
BATS,1.578144
BATS,1.579328
BATS,1.57472
BATS,1.333408
BATS,1.336352
BATS,1.33744
BATS,1.343296
BATS,1.341792
BATS,1.1784
BATS,1.17504
BATS,1.170784
BATS,1.173504
BATS,1.175104
BATS,2.138112
BATS,2.133184
BATS,2.119168
BATS,2.138208
BATS,2.1272
BATS,1.583808
BATS,1.575968
BATS,1.577888
BATS,1.569312
BATS,1.583264
BATS,1.337376
BATS,1.340672
BATS,1.34016
BATS,1.335616
BATS,1.341792
BATS,1.178272
BATS,1.176288
BATS,1.175968
BATS,1.175552
BATS,1.175072
BATS,2.12656
BATS,2.13264
BATS,2.128224
BATS,2.133888
BATS,2.130752
BATS,1.558976
BATS,1.575584
BATS,1.582464
BATS,1.576896
BATS,1.578784
BATS,1.341376
BATS,1.344672
BATS,1.33728
BATS,1.331712
BATS,1.341664
BATS,1.17552
BATS,1.176288
BATS,1.178784
BATS,1.174176
BATS,1.177312
BATS,2.131552
BATS,2.132096
BATS,2.129184
BATS,2.133728
BATS,2.126784
BATS,1.606176
BATS,1.573312
BATS,1.573472
BATS,1.583072
BATS,1.575904
BATS,1.336352
BATS,1.340544
BATS,1.337568
BATS,1.336096
BATS,1.3416
BATS,1.17552
BATS,1.178976
BATS,1.17616
BATS,1.17536
BATS,1.17456
BATS,2.117984
BATS,2.131648
BATS,2.13536
BATS,2.130624
BATS,2.124416
BATS,1.576448
BATS,1.578496
BATS,1.582816
BATS,1.578816
BATS,1.57872
BATS,1.329664
BATS,1.336288
BATS,1.33776
BATS,1.341024
BATS,1.34112
BATS,1.178112
BATS,1.176288
BATS,1.178816
BATS,1.174144
BATS,1.174784
BATS,2.131584
BATS,2.132096
BATS,2.126752
BATS,2.127136
BATS,2.137888
BATS,1.571328
BATS,1.586048
BATS,1.586976
BATS,1.575104
BATS,1.588768
BATS,1.34416
BATS,1.3448
BATS,1.339744
BATS,1.331872
BATS,1.34176
BATS,1.17552
BATS,1.176288
BATS,1.176128
BATS,1.175488
BATS,1.17728
BATS,2.138048
BATS,2.132288
BATS,2.130016
BATS,2.131008
BATS,2.12128
BATS,1.594144
BATS,1.573056
BATS,1.577376
BATS,1.58
BATS,1.575584
BATS,1.336704
BATS,1.336544
BATS,1.340576
BATS,1.337376
BATS,1.347296
BATS,1.17824
BATS,1.178976
BATS,1.176096
BATS,1.17456
BATS,1.175264
BATS,2.12928
BATS,2.144096
BATS,2.120032
BATS,2.133024
BATS,2.135264
BATS,1.582816
BATS,1.573376
BATS,1.582656
BATS,1.571488
BATS,1.575808
BATS,1.336416
BATS,1.345632
BATS,1.337504
BATS,1.337504
BATS,1.335424
BATS,1.175552
BATS,1.176288
BATS,1.178848
BATS,1.175456
BATS,1.175296
BATS,2.122368
BATS,2.121024
BATS,2.1352
BATS,2.132288
BATS,2.133312
BATS,1.576992
BATS,1.58624
BATS,1.582656
BATS,1.57536
BATS,1.587968
BATS,1.337696
BATS,1.340544
BATS,1.337376
BATS,1.336192
BATS,1.341664
BATS,1.17536
BATS,1.178976
BATS,1.176128
BATS,1.174528
BATS,1.17712
BATS,2.135488
BATS,2.132384
BATS,2.119008
BATS,2.13952
BATS,2.129216
BATS,1.583744
BATS,1.578272
BATS,1.573184
BATS,1.577216
BATS,1.5824
BATS,1.331872
BATS,1.331904
BATS,1.340544
BATS,1.34176
BATS,1.341312
BATS,1.178176
BATS,1.176288
BATS,1.17616
BATS,1.175488
BATS,1.175008
BATS,2.125984
BATS,2.132928
BATS,2.134048
BATS,2.12752
BATS,2.11744
BATS,1.587936
BATS,1.578208
BATS,1.59216
BATS,1.578944
BATS,1.583904
BATS,1.338336
BATS,1.349792
BATS,1.33408
BATS,1.336608
BATS,1.341568
BATS,1.175488
BATS,1.176288
BATS,1.178848
BATS,1.174304
BATS,1.177312
MT,0.291456
MT,11.225536
MT,11.751328
MT,5.747456
MT,0.291456
MT,0.002592
MT,6.65296
MT,0.028896
MT,12.448
MT,12.448
MT,6.199936
MT,7.735968
MT,12.448
MT,12.448
MT,6.2
MT,7.736
MT,12.448
MT,12.448
MT,6.2
MT,7.736
MT,12.448
MT,12.448
MT,6.2
MT,7.736
MT,12.448
MT,12.448
MT,6.2
MT,7.736
MT,12.448
MT,12.448
MT,6.2
MT,7.736
MT,12.448
MT,12.448
MT,6.2
MT,7.736
MT,12.448
MT,12.448
MT,6.2
MT,7.736
MT,12.448
MT,12.448
MT,6.2
MT,7.736
MT,12.448
MT,12.448
MT,6.2
MT,7.736
MT,12.448
MT,12.448
MT,6.2
MT,7.736
MT,12.448
MT,12.448
MT,6.2
MT,7.736
MT,12.448
MT,12.448
MT,6.2
MT,7.736
MT,12.448
MT,12.448
MT,6.2
MT,7.736
MT,12.448
MT,12.448
MT,6.2
MT,7.736
MT,12.448
MT,12.448
MT,6.2
MT,7.736
MT,12.448
MT,12.448
MT,6.2
MT,7.736
MT,12.448
MT,12.448
MT,6.2
MT,7.736
MT,12.448
MT,12.448
MT,6.2
MT,7.736
MT,12.448
MT,12.448
MT,6.2
MT,7.736
MT,12.448
MT,12.448
MT,6.2
MT,7.736
MT,12.448
MT,12.448
MT,6.2
MT,7.736
MT,12.448
MT,12.448
MT,6.2
MT,7.736
MT,12.448
MT,12.448
MT,6.2
MT,7.736
MT,12.448
MT,12.448
MT,6.2
MT,7.736
MT,12.448
MT,12.448
MT,6.2
MT,7.736
MT,12.448
MT,12.448
MT,6.2
MT,7.736
MT,12.448
MT,12.448
MT,6.2
MT,7.736
MT,12.448
MT,12.448
MT,6.2
MT,7.736
MT,12.448
MT,12.448
MT,6.2
MT,7.736
MT,12.448
MT,12.448
MT,6.2
MT,7.736
MT,12.448
MT,12.448
MT,6.2
MT,7.736
MT,12.448
MT,12.448
MT,6.2
MT,7.736
MT,12.448
MT,12.448
MT,6.2
MT,7.736
MT,12.448
MT,12.448
MT,6.2
MT,7.736
MT,12.448
MT,12.448
MT,6.2
MT,7.736
MT,12.448
MT,12.448
MT,6.2
MT,7.736
MT,12.448
MT,12.448
MT,6.2
MT,7.736
BATS,2.370464
BATS,2.368864
BATS,2.357152
BATS,2.357088
BATS,2.371328
BATS,2.090976
BATS,2.092544
BATS,2.078464
BATS,2.085088
BATS,2.093728
BATS,1.09328
BATS,1.095488
BATS,1.098752
BATS,1.092288
BATS,1.096736
BATS,1.207808
BATS,1.202112
BATS,1.208256
BATS,1.204128
BATS,1.208064
BATS,2.64256
BATS,2.634016
BATS,2.642784
BATS,2.639936
BATS,2.631584
BATS,2.287104
BATS,2.287392
BATS,2.300416
BATS,2.295776
BATS,2.286304
BATS,1.197504
BATS,1.193216
BATS,1.187008
BATS,1.195904
BATS,1.188288
BATS,1.333088
BATS,1.333632
BATS,1.336544
BATS,1.332736
BATS,1.33312
BATS,2.643392
BATS,2.632672
BATS,2.640064
BATS,2.645344
BATS,2.636032
BATS,2.296544
BATS,2.290688
BATS,2.290656
BATS,2.288096
BATS,2.290624
BATS,1.191232
BATS,1.194688
BATS,1.19408
BATS,1.189792
BATS,1.19856
BATS,1.333088
BATS,1.332096
BATS,1.326112
BATS,1.339968
BATS,1.34368
BATS,2.629664
BATS,2.637472
BATS,2.647552
BATS,2.639392
BATS,2.6408
BATS,2.29072
BATS,2.296576
BATS,2.290688
BATS,2.28656
BATS,2.296608
BATS,1.189344
BATS,1.195104
BATS,1.200896
BATS,1.19424
BATS,1.192416
BATS,1.333312
BATS,1.333408
BATS,1.335488
BATS,1.336096
BATS,1.328512
BATS,2.640416
BATS,2.636896
BATS,2.63344
BATS,2.639296
BATS,2.657024
BATS,2.290656
BATS,2.29072
BATS,2.296544
BATS,2.287968
BATS,2.290688
BATS,1.198784
BATS,1.187872
BATS,1.191168
BATS,1.197472
BATS,1.191008
BATS,1.332736
BATS,1.33344
BATS,1.339744
BATS,1.3288
BATS,1.343392
BATS,2.641856
BATS,2.636928
BATS,2.649888
BATS,2.636992
BATS,2.63072
BATS,2.296576
BATS,2.290656
BATS,2.29072
BATS,2.288032
BATS,2.29072
BATS,1.189536
BATS,1.200672
BATS,1.1936
BATS,1.19376
BATS,1.196416
BATS,1.332896
BATS,1.33232
BATS,1.333792
BATS,1.337472
BATS,1.334176
BATS,2.652256
BATS,2.645984
BATS,2.628576
BATS,2.62768
BATS,2.641664
BATS,2.290688
BATS,2.29056
BATS,2.29072
BATS,2.287968
BATS,2.29664
BATS,1.195392
BATS,1.195328
BATS,1.195872
BATS,1.19376
BATS,1.190528
BATS,1.332608
BATS,1.3336
BATS,1.333952
BATS,1.334016
BATS,1.333376
BATS,2.641056
BATS,2.626144
BATS,2.654656
BATS,2.636608
BATS,2.650368
BATS,2.29072
BATS,2.296608
BATS,2.29072
BATS,2.287968
BATS,2.290688
BATS,1.194944
BATS,1.19408
BATS,1.197888
BATS,1.188896
BATS,1.19312
BATS,1.333408
BATS,1.335456
BATS,1.330944
BATS,1.335488
BATS,1.338624
BATS,2.638592
BATS,2.648512
BATS,2.64176
BATS,2.636576
BATS,2.63104
BATS,2.29664
BATS,2.29072
BATS,2.29664
BATS,2.286432
BATS,2.290656
BATS,1.192832
BATS,1.186944
BATS,1.194336
BATS,1.1928
BATS,1.198496
BATS,1.33312
BATS,1.331904
BATS,1.333984
BATS,1.335232
BATS,1.343648
BATS,2.643872
BATS,2.629184
BATS,2.628
BATS,2.648384
BATS,2.647776
BATS,2.29072
BATS,2.29072
BATS,2.290688
BATS,2.288032
BATS,2.296608
BATS,1.189408
BATS,1.19504
BATS,1.188896
BATS,1.199232
BATS,1.193184
BATS,1.333472
BATS,1.334368
BATS,1.333216
BATS,1.334816
BATS,1.328832
BATS,2.629216
BATS,2.643744
BATS,2.647584
BATS,2.639392
BATS,2.628864
BATS,2.290688
BATS,2.29664
BATS,2.290688
BATS,2.287968
BATS,2.290688
BATS,1.192448
BATS,1.197024
BATS,1.194912
BATS,1.191008
BATS,1.192736
BATS,1.333856
BATS,1.330592
BATS,1.335296
BATS,1.333696
BATS,1.343392
BATS,2.646848
BATS,2.633792
BATS,2.633472
BATS,2.63936
BATS,2.657152
BATS,2.29072
BATS,2.290688
BATS,2.296608
BATS,2.287968
BATS,2.290656
BATS,1.1984
BATS,1.190144
BATS,1.194752
BATS,1.1896
BATS,1.192672
BATS,1.331872
BATS,1.334144
BATS,1.33536
BATS,1.336992
BATS,1.333344
BATS,2.647872
BATS,2.636704
