Scheduler,Throughput
PF,1.145216
PF,1.095424
PF,1.145216
PF,1.095424
PF,1.145216
PF,1.145216
PF,1.145216
PF,1.145216
PF,1.08512
PF,1.145216
PF,0.9176
PF,1.116224
PF,1.134176
PF,0.768032
PF,0.97168
PF,1.096832
PF,1.121664
PF,1.196672
PF,1.19664
PF,1.145216
PF,1.2448
PF,1.2448
PF,1.2448
PF,1.2448
PF,1.2448
PF,1.2448
PF,1.2448
PF,1.2448
PF,1.2464
PF,1.2448
PF,1.0696
PF,1.220608
PF,1.245504
PF,0.840576
PF,1.116
PF,1.2712
PF,1.2216
PF,1.2464
PF,1.2464
PF,1.2448
PF,1.2448
PF,1.2448
PF,1.2448
PF,1.2448
PF,1.2448
PF,1.2448
PF,1.2448
PF,1.2448
PF,1.2464
PF,1.2448
PF,1.0696
PF,1.251552
PF,1.207456
PF,0.840576
PF,1.0912
PF,1.2216
PF,1.2712
PF,1.2464
PF,1.2464
PF,1.2448
PF,1.2448
PF,1.2448
PF,1.2448
PF,1.2448
PF,1.2448
PF,1.2448
PF,1.2448
PF,1.2448
PF,1.2464
PF,1.2448
PF,1.040704
PF,1.245984
PF,1.283552
PF,0.85968
PF,1.095296
PF,1.2712
PF,1.2216
PF,1.2464
PF,1.2464
PF,1.2448
PF,1.2448
PF,1.2448
PF,1.2448
PF,1.2448
PF,1.2448
PF,1.2448
PF,1.2448
PF,1.2448
PF,1.2464
PF,1.2448
PF,1.0696
PF,1.271328
PF,1.245504
PF,0.840576
PF,1.0912
PF,1.2216
PF,1.2712
PF,1.2464
PF,1.2464
PF,1.2448
PF,1.2448
PF,1.2448
PF,1.2448
PF,1.2448
PF,1.2448
PF,1.2448
PF,1.2448
PF,1.2448
PF,1.2464
PF,1.2448
PF,1.065504
PF,1.21504
PF,1.207392
PF,0.85968
PF,1.120096
PF,1.2712
PF,1.2216
PF,1.2464
PF,1.2464
PF,1.2448
PF,1.2448
PF,1.2448
PF,1.2448
PF,1.2448
PF,1.2448
PF,1.2448
PF,1.2448
PF,1.2448
PF,1.2464
PF,1.2448
PF,1.0696
PF,1.251552
PF,1.245504
PF,0.840576
PF,1.0912
PF,1.2216
PF,1.2712
PF,1.2464
PF,1.2464
PF,1.2448
PF,1.2448
PF,1.2448
PF,1.2448
PF,1.2448
PF,1.2448
PF,1.2448
PF,1.2448
PF,1.2448
PF,1.2464
PF,1.2448
PF,1.0696
PF,1.271328
PF,1.245504
PF,0.840576
PF,1.0912
PF,1.2712
PF,1.2216
PF,1.2464
PF,1.2464
PF,1.2448
PF,1.2448
PF,1.2448
PF,1.2448
PF,1.2448
PF,1.2448
PF,1.2448
PF,1.2448
PF,1.2448
PF,1.2464
PF,1.2448
PF,1.040704
PF,1.21504
PF,1.245504
PF,0.85968
